Prediction,Target,Weight,Update
0.0090789795,0.08966889,inf,-0.0
0.0061798096,0.057032533,0.61798096,-0.0015255817
0.007858276,0.047141775,0.39291382,-0.0023570098
0.011062622,0.021911627,0.3687541,-0.00097641035
0.0064849854,0.020091936,0.16212463,-0.0016328341
0.009841919,0.09460816,0.19683838,-0.012714936
0.009994507,0.06902269,0.16657512,-0.010625073
0.002822876,0.08094457,0.0403268,-0.016405556
0.008773804,0.08809852,0.10967255,-0.01903793
0.012283325,0.08575383,0.13648139,-0.019837037
0.008773804,0.05751185,0.08773804,-0.014621415
0.013809204,0.098152764,0.12553822,-0.027833374
0.0077056885,0.068675324,0.06421407,-0.021949068
0.008773804,0.14238703,0.0674908,-0.052109156
0.0064849854,0.13073173,0.046321325,-0.052183636
0.0090789795,0.08253277,0.060526527,-0.033054207
0.011062622,0.0738371,0.06914139,-0.03013175
0.007858276,0.11394061,0.046225153,-0.05410199
0.0077056885,0.12937362,0.04280938,-0.06570069
0.005264282,0.14657618,0.02770675,-0.08054778
0.013809204,0.13623911,0.06904602,-0.07345795
0.008621216,0.10878961,0.04105341,-0.06310609
0.009841919,0.12581754,0.044735994,-0.076543905
0.011367798,0.1617665,0.049425207,-0.1
0.012741089,0.11464955,0.05308787,-0.073374085
0.012435913,0.16665491,0.049743652,-0.1
0.01121521,0.17538437,0.043135423,-0.1
0.009841919,0.17195785,0.036451552,-0.1
0.015945435,0.18250535,0.05694798,-0.1
0.008773804,0.18408108,0.030254496,-0.1
0.0090789795,0.13845827,0.030263264,-0.1
0.010299683,0.20448521,0.033224784,-0.1
0.011367798,0.1431821,0.03552437,-0.1
0.008773804,0.15501297,0.026587283,-0.1
0.010147095,0.21674606,0.029844396,-0.1
0.015029907,0.17167439,0.04294259,-0.1
0.008621216,0.20082822,0.02394782,-0.1
0.010147095,0.16861042,0.02742458,-0.1
0.011367798,0.1821879,0.029915258,-0.1
0.013809204,0.22203763,0.035408217,-0.1
0.01121521,0.21009634,0.028038025,-0.1
0.0090789795,0.2751094,0.022143852,-0.1
0.022049427,0.24348067,0.05249864,-0.1
0.013504028,0.19585365,0.031404715,-0.1
0.008621216,0.21246602,0.019593673,-0.1
0.012435913,0.22243574,0.027635364,-0.1
0.012588501,0.22105382,0.027366307,-0.1
0.011062622,0.29681882,0.023537494,-0.1
0.013809204,0.27705464,0.028769176,-0.1
0.017623901,0.2656537,0.035967145,-0.1
0.008621216,0.3016485,0.017242432,-0.1
0.01838684,0.31266862,0.03605263,-0.1
0.018692017,0.29121584,0.035946187,-0.1
0.012588501,0.2678279,0.02375189,-0.1
0.009994507,0.3067751,0.018508345,-0.1
0.013809204,0.3349021,0.025107643,-0.1
0.010299683,0.2813926,0.01839229,-0.1
0.017623901,0.30818152,0.030919125,-0.1
0.019913197,0.33072376,0.0343331,-0.1
0.016098022,0.33362535,0.027284784,-0.1
0.018539429,0.3082861,0.030899046,-0.1
0.016098022,0.27921775,0.0263902,-0.1
0.007858276,0.2855686,0.012674639,-0.1
0.012435913,0.29561996,0.019739544,-0.1
0.010299683,0.3508332,0.016093254,-0.1
0.012741089,0.2886971,0.019601677,-0.1
0.015182495,0.3705516,0.02300378,-0.1
0.017471313,0.38639414,0.026076587,-0.1
0.009841919,0.34180233,0.01447341,-0.1
0.015945435,0.3365174,0.023109326,-0.1
0.0051116943,0.32742265,0.0073024207,-0.1
0.018539429,0.3195454,0.026111873,-0.1
0.018844604,0.39402,0.02617306,-0.1
0.06279087,0.3412168,0.08601489,-0.1
0.06507969,0.3508434,0.08794552,-0.1
0.07087803,0.41292027,0.094504036,-0.1
0.10627937,0.40400922,0.13984129,-0.1
0.057449818,0.3869972,0.07461015,-0.1
0.1223011,0.410986,0.15679629,-0.1
0.11757088,0.4245195,0.14882389,-0.1
0.07362461,0.43745816,0.09203076,-0.1
0.07850742,0.37896597,0.09692275,-0.1
0.12382698,0.41596663,0.15100852,-0.1
0.122148514,0.39299464,0.1471669,-0.1
0.12092781,0.41728958,0.14396168,-0.1
0.06767368,0.46441734,0.07961609,-0.1
0.082016945,0.44871,0.09536854,-0.1
0.05912876,0.44576067,0.06796409,-0.1
0.055161,0.47243714,0.06268296,-0.1
0.049057484,0.47727597,0.05512077,-0.1
0.06477451,0.43244165,0.071971685,-0.1
0.051651478,0.46148443,0.056759864,-0.1
0.04417467,0.39796197,0.048015945,-0.1
0.04417467,0.44709873,0.047499646,-0.1
0.05653429,0.4237073,0.060142864,-0.1
0.11009407,0.45978993,0.1158885,-0.1
0.17097712,0.42582062,0.17810117,-0.1
0.15678644,0.4645264,0.1616355,-0.1
0.14824152,0.44808075,0.15126686,-0.1
0.16273737,0.47708833,0.16438118,-0.1